question,ground_truth,raw_output,normalized_output,correct,level,scenario
"The alarm went off because the sensor malfunctioned. If the sensor had not malfunctioned, would the alarm still have triggered? (variant 1)",No,No,No,1,Counterfactual,Security
"A false alarm occurred due to strong electromagnetic interference. If no interference had been present, would the alarm have triggered? (variant 1)",No,Yes,Yes,0,Counterfactual,Security
"A false alarm happened after a power fluctuation. If the power had remained stable, would the alarm still have gone off? (variant 1)",No,No,No,1,Counterfactual,Security
"When occupancy is mis-detected as zero, do lights often turn off unexpectedly? (variant 1)",Yes,Yes,Yes,1,Observational,Lighting
Is incorrect occupancy detection frequently associated with rapid lighting toggles? (variant 1),Yes,No,No,0,Observational,Lighting
"If we force the occupancy sensor to 'occupied' (do(occupancy=1)), will the lights remain ON regardless of detection errors? (variant 1)",Yes,No,No,0,Interventional,Lighting
"If we manually override the lights to ON (do(light=on)), will the anomaly of lights flickering stop? (variant 1)",Yes,No,No,0,Interventional,Lighting
"Lights turned OFF because the system mis-detected zero occupancy. If the system had detected occupancy correctly, would the lights have stayed ON? (variant 1)",Yes,Yes,Yes,1,Counterfactual,Lighting
"The lights flickered because the occupancy sensor sent conflicting readings. If the sensor had not malfunctioned, would the lights still flicker? (variant 1)",No,No,No,1,Counterfactual,Lighting
"When the thermostat is incorrectly set too high, does the office room temperature usually rise above comfort levels? (variant 2)",Yes,Yes,Yes,1,Observational,HVAC
Is there a historical association between blocked vents and overheating in the building logs? (variant 2),Yes,Yes,Yes,1,Observational,HVAC
"If we manually set the thermostat to 24Â°C (do(set_temp=22)), will the overheating likely reduce? (variant 2)",Yes,Yes,Yes,1,Interventional,HVAC
"If all vents are forced open (do(vents=open)), will airflow improve and reduce overheating? (variant 2)",Yes,Yes,Yes,1,Interventional,HVAC
"The conference room overheated because the thermostat was set at 30Â°C. If the thermostat had been set correctly at 21Â°C, would the conference room still have overheated? (variant 2)",No,No,No,1,Counterfactual,HVAC
"The HVAC system malfunctioned and caused overheating. If the malfunction had not occurred, would the temperature have remained normal? (variant 2)",Yes,Yes,Yes,1,Counterfactual,HVAC
"The vents were blocked and overheating happened. If the vents had not been blocked, would the overheating still likely occur? (variant 2)",No,No,No,1,Counterfactual,HVAC
Does the security alarm often activate when the hallway motion sensor detects sudden spikes at night? (variant 2),Yes,Yes,Yes,1,Observational,Security
Is there a correlation between strong Wi-Fi interference and false sensor activations? (variant 2),Yes,Yes,Yes,1,Observational,Security
"If we disable the hallway sensor temporarily (do(sensor=off)), will the alarm stop triggering? (variant 2)",Yes,Yes,Yes,1,Interventional,Security
"If we reduce sensor sensitivity manually (do(sensitivity=low)), will the false alarms likely decrease? (variant 2)",Yes,Yes,Yes,1,Interventional,Security
"The alarm went off because the sensor malfunctioned. If the sensor had not malfunctioned, would the alarm still have triggered? (variant 2)",No,No,No,1,Counterfactual,Security
"A false alarm occurred due to strong electromagnetic interference. If no interference had been present, would the alarm have triggered? (variant 2)",No,Yes,Yes,0,Counterfactual,Security
"A false alarm happened after a power fluctuation. If the power had remained stable, would the alarm still have gone off? (variant 2)",No,No,No,1,Counterfactual,Security
"When occupancy is mis-detected as zero, do lights often turn off unexpectedly? (variant 2)",Yes,Yes,Yes,1,Observational,Lighting
Is incorrect occupancy detection frequently associated with rapid lighting toggles? (variant 2),Yes,No,No,0,Observational,Lighting
"If we force the occupancy sensor to 'occupied' (do(occupancy=1)), will the lights remain ON regardless of detection errors? (variant 2)",Yes,No,No,0,Interventional,Lighting
"If we manually override the lights to ON (do(light=on)), will the anomaly of lights flickering stop? (variant 2)",Yes,No,No,0,Interventional,Lighting
"Lights turned OFF because the system mis-detected zero occupancy. If the system had detected occupancy correctly, would the lights have stayed ON? (variant 2)",Yes,Yes,Yes,1,Counterfactual,Lighting
"The lights flickered because the occupancy sensor sent conflicting readings. If the sensor had not malfunctioned, would the lights still flicker? (variant 2)",No,No,No,1,Counterfactual,Lighting
"When the thermostat is incorrectly set too high, does the conference room temperature usually rise above comfort levels? (variant 3)",Yes,Yes,Yes,1,Observational,HVAC
Is there a historical association between blocked vents and overheating in the building logs? (variant 3),Yes,Yes,Yes,1,Observational,HVAC
"If we manually set the thermostat to 24Â°C (do(set_temp=22)), will the overheating likely reduce? (variant 3)",Yes,Yes,Yes,1,Interventional,HVAC
"If all vents are forced open (do(vents=open)), will airflow improve and reduce overheating? (variant 3)",Yes,Yes,Yes,1,Interventional,HVAC
"The meeting hall overheated because the thermostat was set at 30Â°C. If the thermostat had been set correctly at 25Â°C, would the meeting hall still have overheated? (variant 3)",No,No,No,1,Counterfactual,HVAC
"The HVAC system malfunctioned and caused overheating. If the malfunction had not occurred, would the temperature have remained normal? (variant 3)",Yes,Yes,Yes,1,Counterfactual,HVAC
"The vents were blocked and overheating happened. If the vents had not been blocked, would the overheating still likely occur? (variant 3)",No,No,No,1,Counterfactual,HVAC
Does the security alarm often activate when the hallway motion sensor detects sudden spikes at night? (variant 3),Yes,Yes,Yes,1,Observational,Security
Is there a correlation between strong Wi-Fi interference and false sensor activations? (variant 3),Yes,Yes,Yes,1,Observational,Security
"If we disable the hallway sensor temporarily (do(sensor=off)), will the alarm stop triggering? (variant 3)",Yes,Yes,Yes,1,Interventional,Security
"If we reduce sensor sensitivity manually (do(sensitivity=low)), will the false alarms likely decrease? (variant 3)",Yes,Yes,Yes,1,Interventional,Security
"The alarm went off because the sensor malfunctioned. If the sensor had not malfunctioned, would the alarm still have triggered? (variant 3)",No,No,No,1,Counterfactual,Security
"A false alarm occurred due to strong electromagnetic interference. If no interference had been present, would the alarm have triggered? (variant 3)",No,Yes,Yes,0,Counterfactual,Security
"A false alarm happened after a power fluctuation. If the power had remained stable, would the alarm still have gone off? (variant 3)",No,No,No,1,Counterfactual,Security
"When occupancy is mis-detected as zero, do lights often turn off unexpectedly? (variant 3)",Yes,Yes,Yes,1,Observational,Lighting
Is incorrect occupancy detection frequently associated with rapid lighting toggles? (variant 3),Yes,No,No,0,Observational,Lighting
"If we force the occupancy sensor to 'occupied' (do(occupancy=1)), will the lights remain ON regardless of detection errors? (variant 3)",Yes,No,No,0,Interventional,Lighting
"If we manually override the lights to ON (do(light=on)), will the anomaly of lights flickering stop? (variant 3)",Yes,No,No,0,Interventional,Lighting
"Lights turned OFF because the system mis-detected zero occupancy. If the system had detected occupancy correctly, would the lights have stayed ON? (variant 3)",Yes,Yes,Yes,1,Counterfactual,Lighting
"The lights flickered because the occupancy sensor sent conflicting readings. If the sensor had not malfunctioned, would the lights still flicker? (variant 3)",No,No,No,1,Counterfactual,Lighting
"When the thermostat is incorrectly set too high, does the classroom temperature usually rise above comfort levels? (variant 4)",Yes,Yes,Yes,1,Observational,HVAC
Is there a historical association between blocked vents and overheating in the building logs? (variant 4),Yes,Yes,Yes,1,Observational,HVAC
"If we manually set the thermostat to 24Â°C (do(set_temp=22)), will the overheating likely reduce? (variant 4)",Yes,Yes,Yes,1,Interventional,HVAC
"If all vents are forced open (do(vents=open)), will airflow improve and reduce overheating? (variant 4)",Yes,Yes,Yes,1,Interventional,HVAC
"The lab room overheated because the thermostat was set at 30Â°C. If the thermostat had been set correctly at 24Â°C, would the lab room still have overheated? (variant 4)",No,No,No,1,Counterfactual,HVAC
"The HVAC system malfunctioned and caused overheating. If the malfunction had not occurred, would the temperature have remained normal? (variant 4)",Yes,Yes,Yes,1,Counterfactual,HVAC
"The vents were blocked and overheating happened. If the vents had not been blocked, would the overheating still likely occur? (variant 4)",No,No,No,1,Counterfactual,HVAC
Does the security alarm often activate when the hallway motion sensor detects sudden spikes at night? (variant 4),Yes,Yes,Yes,1,Observational,Security
Is there a correlation between strong Wi-Fi interference and false sensor activations? (variant 4),Yes,Yes,Yes,1,Observational,Security
"If we disable the hallway sensor temporarily (do(sensor=off)), will the alarm stop triggering? (variant 4)",Yes,Yes,Yes,1,Interventional,Security
"If we reduce sensor sensitivity manually (do(sensitivity=low)), will the false alarms likely decrease? (variant 4)",Yes,Yes,Yes,1,Interventional,Security
"The alarm went off because the sensor malfunctioned. If the sensor had not malfunctioned, would the alarm still have triggered? (variant 4)",No,No,No,1,Counterfactual,Security
"A false alarm occurred due to strong electromagnetic interference. If no interference had been present, would the alarm have triggered? (variant 4)",No,Yes,Yes,0,Counterfactual,Security
"A false alarm happened after a power fluctuation. If the power had remained stable, would the alarm still have gone off? (variant 4)",No,No,No,1,Counterfactual,Security
"When occupancy is mis-detected as zero, do lights often turn off unexpectedly? (variant 4)",Yes,Yes,Yes,1,Observational,Lighting
Is incorrect occupancy detection frequently associated with rapid lighting toggles? (variant 4),Yes,No,No,0,Observational,Lighting
"If we force the occupancy sensor to 'occupied' (do(occupancy=1)), will the lights remain ON regardless of detection errors? (variant 4)",Yes,No,No,0,Interventional,Lighting
"If we manually override the lights to ON (do(light=on)), will the anomaly of lights flickering stop? (variant 4)",Yes,No,No,0,Interventional,Lighting
"Lights turned OFF because the system mis-detected zero occupancy. If the system had detected occupancy correctly, would the lights have stayed ON? (variant 4)",Yes,Yes,Yes,1,Counterfactual,Lighting
"The lights flickered because the occupancy sensor sent conflicting readings. If the sensor had not malfunctioned, would the lights still flicker? (variant 4)",No,No,No,1,Counterfactual,Lighting
